,target
336,POS
337,POS
338,POS
339,POS
340,POS
341,POS
342,POS
343,POS
344,POS
345,POS
346,NEU
347,POS
348,NEU
349,POS
350,POS
351,POS
352,POS
353,NEU
354,NEU
355,NEU
356,NEU
357,NEU
358,NEU
359,POS
360,POS
361,POS
362,POS
363,POS
364,POS
365,POS
366,POS
367,POS
368,NEU
369,NEU
370,NEU
371,NEG
372,POS
373,POS
374,NEU
375,POS
376,POS
377,POS
378,POS
379,POS
380,NEG
381,NEG
382,NEG
383,NEU
384,NEG
385,NEG
386,NEG
387,NEG
388,NEG
389,NEG
390,POS
391,POS
392,POS
393,POS
394,POS
395,POS
396,NEU
397,NEU
398,NEU
399,NEU
400,POS
401,POS
402,POS
403,POS
404,POS
405,POS
406,POS
407,NEU
408,NEU
409,NEG
410,NEG
411,NEG
412,NEU
413,NEG
414,NEU
415,NEU
416,NEG
417,NEG
418,NEG
419,POS
420,POS
421,POS
422,POS
423,NEU
424,NEU
425,NEU
426,NEU
427,NEU
428,NEU
429,NEU
430,NEU
431,NEU
432,NEU
433,NEG
434,NEG
435,NEG
436,NEG
437,NEG
438,POS
439,NEG
440,NEG
441,POS
442,POS
443,POS
444,POS
445,POS
446,POS
447,NEG
448,NEG
449,NEU
450,NEU
451,NEU
452,POS
453,POS
454,POS
455,POS
456,POS
457,POS
458,POS
459,POS
460,POS
461,POS
462,NEU
463,NEU
464,NEU
465,NEU
466,NEU
467,NEU
468,NEU
469,POS
470,POS
471,POS
472,NEU
473,NEU
474,POS
475,POS
476,NEU
477,POS
478,POS
479,NEU
480,NEU
481,NEG
482,NEG
483,POS
484,POS
485,NEG
486,NEG
487,NEU
488,POS
489,NEU
490,NEU
491,NEU
492,NEG
493,NEG
494,NEU
495,NEU
496,NEU
497,NEU
498,POS
499,POS
500,POS
501,POS
502,POS
503,NEU
504,NEU
505,NEU
506,POS
507,POS
508,POS
509,POS
510,POS
511,NEG
512,POS
513,POS
514,NEU
515,POS
516,POS
517,POS
518,POS
519,POS
520,POS
521,POS
522,NEU
523,NEU
524,NEU
525,NEU
526,NEU
527,NEU
528,POS
529,POS
530,NEG
531,NEG
532,NEG
533,NEG
534,NEU
535,NEU
536,NEU
537,NEU
538,NEG
539,NEG
540,NEG
541,NEU
542,POS
543,POS
544,POS
545,POS
546,POS
547,POS
548,POS
549,NEU
550,POS
551,POS
552,POS
553,NEG
554,NEG
555,NEG
556,NEG
557,NEG
558,NEG
559,NEU
560,NEU
561,NEU
562,POS
563,POS
564,POS
565,NEU
566,NEG
567,NEG
568,POS
569,POS
570,POS
571,POS
572,POS
573,POS
574,POS
575,POS
576,NEU
577,NEU
578,POS
579,POS
580,NEU
581,NEU
582,NEU
583,NEU
584,NEU
585,NEU
586,POS
587,NEU
588,NEU
589,NEU
590,NEU
591,NEU
592,POS
593,POS
594,POS
595,POS
596,NEU
597,NEU
598,POS
599,POS
600,POS
601,POS
602,POS
603,POS
604,POS
605,POS
606,POS
607,POS
608,NEG
609,NEG
610,POS
611,NEG
612,NEG
613,NEG
614,NEG
615,NEG
616,NEG
617,NEG
618,NEU
619,NEU
620,NEU
621,NEG
622,NEG
623,NEG
624,POS
625,NEG
626,NEG
627,NEG
628,NEG
629,NEG
630,POS
631,POS
632,POS
633,NEG
634,POS
635,NEG
636,NEG
637,NEG
638,NEG
639,NEG
640,NEG
641,NEG
642,POS
643,POS
644,POS
645,NEG
646,NEG
647,NEU
648,NEU
649,NEU
650,NEU
651,NEU
652,NEU
653,NEU
654,NEU
655,POS
656,POS
657,POS
658,POS
659,POS
660,POS
661,NEU
662,NEU
663,NEU
664,POS
665,NEU
666,POS
667,NEU
668,NEU
669,NEU
670,NEU
671,POS
672,POS
673,POS
674,NEU
675,NEU
676,NEU
677,NEU
678,NEU
679,POS
680,POS
681,POS
682,POS
683,POS
684,POS
685,POS
686,NEU
687,NEU
688,POS
689,POS
690,POS
691,POS
692,NEU
693,NEU
694,NEU
695,NEU
696,POS
697,POS
698,POS
699,POS
700,POS
701,POS
702,NEG
703,POS
704,POS
705,POS
706,POS
707,POS
708,NEG
709,NEG
710,NEU
711,NEU
712,NEU
713,NEU
714,NEU
715,NEU
716,NEU
717,NEU
718,NEU
719,NEG
720,NEG
721,POS
722,POS
723,POS
724,POS
725,POS
726,POS
727,POS
728,NEU
729,NEU
730,POS
731,POS
732,POS
733,POS
734,NEG
735,NEG
736,POS
737,POS
738,POS
739,POS
740,NEG
741,NEG
742,POS
743,POS
744,POS
745,POS
746,POS
747,POS
748,NEG
749,NEG
750,NEU
751,NEU
752,NEU
753,NEU
754,NEU
755,POS
756,POS
757,POS
758,NEU
759,NEU
760,POS
761,NEU
762,NEU
763,POS
764,POS
765,NEU
766,NEU
767,NEU
768,NEG
769,NEG
770,NEG
771,NEG
772,NEU
773,NEU
774,NEU
775,POS
776,POS
777,POS
778,NEU
779,NEU
780,POS
781,NEU
782,NEU
783,POS
784,POS
785,POS
786,NEG
787,NEG
788,NEG
789,NEU
790,NEU
791,NEU
792,NEG
793,NEG
794,NEG
795,NEG
796,NEU
797,NEG
798,NEU
799,NEU
800,NEU
801,NEG
802,NEG
803,NEU
804,NEU
805,NEU
806,NEU
807,POS
808,NEU
809,NEU
810,NEU
811,NEU
812,NEU
813,NEU
814,NEU
815,NEU
816,NEU
817,NEU
818,NEG
819,NEU
820,NEU
821,POS
822,POS
823,NEG
824,NEG
825,NEU
826,NEU
827,NEU
828,NEU
829,NEG
830,NEG
831,NEG
832,NEG
833,NEG
834,NEU
835,NEU
836,NEG
837,NEG
838,NEU
839,NEU
840,NEG
841,NEU
842,NEU
843,NEU
844,POS
845,POS
846,POS
847,POS
848,POS
849,NEU
850,NEU
851,NEU
852,NEU
853,NEU
854,NEU
855,NEU
856,NEU
857,NEU
858,NEU
859,NEU
860,NEG
861,NEU
862,NEU
863,NEG
864,NEG
865,NEG
866,NEG
867,NEG
868,NEG
869,NEG
870,NEG
871,NEG
872,NEG
873,NEG
874,NEG
875,NEG
876,POS
877,POS
878,POS
879,NEU
880,NEU
881,NEU
882,NEU
883,NEU
884,NEU
885,NEU
886,NEU
887,NEG
888,NEG
889,NEG
890,POS
891,NEG
892,NEG
893,NEU
894,POS
895,POS
896,NEU
897,NEU
898,NEU
899,NEU
900,NEU
901,NEU
902,POS
903,POS
904,POS
905,NEG
906,POS
907,POS
908,POS
909,POS
910,POS
911,POS
912,POS
913,NEU
914,NEU
915,NEU
916,NEG
917,NEG
918,NEG
919,NEG
920,NEG
921,NEG
922,NEU
923,POS
924,NEG
925,NEG
926,POS
927,POS
928,NEG
929,NEG
930,NEG
931,NEU
932,NEG
933,NEG
934,NEG
935,NEG
936,NEU
937,NEU
938,NEG
939,NEG
940,NEG
941,NEG
942,NEG
943,POS
944,NEU
945,NEU
946,NEU
947,NEU
948,NEU
949,NEU
950,NEU
951,NEG
952,NEU
953,NEU
954,NEU
955,NEU
956,NEU
957,NEU
958,NEG
959,NEU
960,POS
961,POS
962,NEG
963,NEG
964,NEG
965,NEU
966,NEU
967,NEU
968,NEG
969,NEG
970,NEU
971,NEU
972,NEU
973,NEU
974,NEU
975,NEG
976,NEU
977,NEG
978,NEG
979,NEG
980,NEU
981,NEU
982,NEU
983,NEU
984,NEU
985,NEU
986,NEU
987,NEU
988,NEG
989,NEU
990,NEU
991,NEG
992,NEG
993,NEG
994,NEG
995,NEG
996,NEG
997,NEG
998,NEG
999,NEG
1000,NEU
1001,NEG
1002,NEU
1003,NEU
1004,NEU
1005,NEU
1006,NEG
1007,NEG
1008,NEG
1009,NEG
1010,NEG
1011,NEG
1012,NEG
1013,POS
1014,NEG
1015,NEG
1016,NEG
1017,POS
1018,NEU
1019,NEU
1020,NEU
1021,NEG
1022,NEU
1023,NEG
1024,NEG
1025,NEG
1026,NEG
1027,NEG
1028,NEU
1029,NEU
1030,NEU
1031,POS
1032,NEG
1033,NEG
1034,NEG
1035,NEG
1036,NEG
1037,NEG
1038,NEG
1039,NEG
1040,NEG
1041,NEG
1042,POS
1043,POS
1044,POS
1045,NEG
1046,NEG
1047,NEU
1048,NEG
1049,NEG
1050,NEG
1051,NEG
1052,NEU
1053,NEU
1054,NEU
1055,NEG
1056,NEG
1057,NEU
1058,NEU
1059,NEU
1060,NEU
1061,NEU
1062,NEG
1063,NEG
1064,NEG
1065,POS
1066,POS
1067,POS
1068,POS
1069,NEG
1070,POS
1071,POS
1072,POS
1073,NEG
1074,NEG
1075,NEG
1076,POS
1077,POS
1078,NEG
1079,NEG
1080,NEG
1081,NEG
1082,NEG
1083,NEG
1084,NEG
1085,NEG
1086,NEG
1087,NEG
1088,NEG
1089,NEU
1090,NEG
1091,NEG
1092,NEG
1093,NEG
1094,NEU
1095,NEU
1096,NEG
1097,NEG
1098,NEU
1099,NEU
1100,NEG
1101,NEG
1102,NEG
1103,NEU
1104,NEG
1105,NEG
1106,NEG
1107,NEG
1108,NEG
1109,POS
1110,POS
1111,NEG
1112,NEG
1113,NEG
1114,NEG
1115,NEG
1116,NEG
1117,NEU
1118,NEU
1119,NEG
1120,NEG
1121,POS
1122,POS
1123,POS
1124,NEG
1125,NEG
1126,NEG
1127,POS
1128,POS
1129,NEU
1130,NEU
1131,NEU
1132,NEU
1133,NEU
1134,NEU
1135,NEU
1136,NEU
1137,NEU
1138,NEU
1139,NEU
1140,POS
1141,POS
1142,POS
1143,NEG
1144,NEG
1145,POS
1146,POS
1147,POS
1148,NEG
1149,NEG
1150,NEU
1151,NEG
1152,NEG
1153,NEU
1154,NEU
1155,NEG
1156,NEU
1157,NEG
1158,NEG
1159,NEG
1160,NEG
1161,NEU
1162,NEU
1163,POS
1164,POS
1165,NEG
1166,NEG
1167,NEU
1168,NEU
1169,POS
1170,NEG
1171,NEG
1172,POS
1173,NEU
1174,NEU
1175,POS
1176,POS
1177,POS
1178,POS
1179,NEU
1180,NEU
1181,NEU
1182,NEU
1183,NEU
1184,NEG
1185,NEG
1186,POS
1187,POS
1188,POS
1189,POS
1190,POS
1191,POS
1192,POS
1193,POS
1194,POS
1195,NEG
1196,NEG
1197,POS
1198,NEU
1199,NEU
1200,NEG
1201,NEG
1202,POS
1203,NEU
1204,NEG
1205,NEG
1206,NEG
1207,NEG
1208,POS
1209,POS
1210,NEG
1211,NEU
1212,POS
1213,POS
1214,NEG
1215,NEG
1216,NEU
1217,POS
1218,POS
1219,POS
1220,NEG
1221,NEG
1222,POS
1223,POS
1224,POS
1225,POS
1226,POS
1227,POS
1228,POS
1229,POS
1230,POS
1231,POS
1232,POS
1233,POS
1234,POS
1235,POS
1236,POS
1237,POS
1238,POS
1239,POS
1240,POS
1241,NEU
1242,POS
1243,POS
1244,POS
1245,POS
1246,POS
1247,POS
1248,POS
1249,POS
1250,POS
1251,POS
1252,POS
1253,POS
1254,NEU
1255,NEU
1256,NEU
1257,POS
1258,POS
1259,POS
1260,POS
1261,POS
1262,POS
1263,POS
1264,POS
1265,POS
1266,POS
1267,POS
1268,POS
1269,POS
1270,NEG
1271,NEG
1272,NEG
1273,POS
1274,POS
1275,POS
1276,NEG
1277,NEG
1278,NEG
1279,NEG
1280,NEG
1281,NEG
1282,NEG
1283,POS
1284,POS
1285,NEU
1286,NEU
1287,NEU
1288,NEU
1289,NEU
1290,NEG
1291,NEG
1292,NEG
1293,NEU
1294,POS
1295,NEU
1296,NEU
1297,NEG
1298,POS
1299,POS
1300,NEU
1301,NEU
1302,POS
1303,POS
1304,POS
1305,POS
1306,NEG
1307,NEG
1308,NEG
1309,POS
1310,POS
1311,POS
1312,NEG
1313,POS
1314,NEG
1315,NEG
1316,NEG
1317,NEG
1318,NEG
1319,NEG
1320,POS
1321,NEU
1322,NEU
1323,NEU
1324,NEU
1325,POS
1326,POS
1327,NEG
1328,NEG
1329,NEU
1330,NEU
1331,NEU
1332,NEG
1333,POS
1334,POS
1335,POS
1336,NEU
1337,POS
1338,POS
1339,NEU
1340,POS
1341,POS
1342,NEG
1343,NEG
1344,NEG
1345,POS
1346,NEG
1347,NEG
1348,NEG
1349,NEU
1350,NEU
1351,NEU
1352,NEU
1353,NEU
1354,NEU
1355,NEU
1356,NEU
1357,NEU
1358,NEU
1359,NEU
1360,NEU
1361,POS
1362,NEG
1363,NEG
1364,NEG
1365,NEG
1366,NEG
1367,NEG
1368,POS
1369,POS
1370,NEG
1371,NEG
1372,NEG
1373,NEU
1374,NEU
1375,NEG
1376,NEG
1377,NEG
1378,NEU
1379,NEG
1380,NEG
1381,NEG
1382,NEG
1383,NEG
1384,NEG
1385,NEG
1386,NEG
1387,NEU
1388,NEU
1389,NEG
1390,NEG
1391,NEG
1392,POS
1393,POS
1394,NEU
1395,NEU
1396,NEU
1397,NEU
1398,NEU
1399,NEU
1400,POS
1401,POS
1402,NEG
1403,NEG
1404,NEG
1405,POS
1406,NEU
1407,POS
1408,POS
1409,POS
1410,POS
1411,NEU
1412,NEU
1413,NEU
1414,NEU
1415,POS
1416,NEU
1417,NEU
1418,NEU
1419,NEU
1420,NEU
1421,NEU
1422,NEU
1423,NEU
1424,NEU
1425,NEU
1426,NEU
1427,NEU
1428,POS
1429,NEU
1430,NEU
1431,NEU
1432,NEU
1433,NEG
1434,NEG
1435,NEG
1436,NEG
1437,NEG
1438,NEG
1439,NEU
1440,NEU
1441,NEU
1442,POS
1443,POS
1444,NEU
1445,NEU
1446,NEG
1447,NEG
1448,NEU
1449,POS
1450,POS
1451,POS
1452,NEU
1453,NEU
1454,NEG
1455,NEG
1456,NEG
1457,POS
1458,NEG
1459,POS
1460,POS
1461,POS
1462,NEU
1463,NEU
1464,NEU
1465,NEG
1466,NEG
1467,NEG
1468,POS
1469,POS
1470,NEG
1471,NEG
1472,NEG
1473,NEG
1474,NEG
1475,NEU
1476,NEU
1477,NEU
1478,NEG
1479,NEG
1480,NEG
1481,NEG
1482,NEG
1483,NEG
1484,NEG
1485,POS
1486,POS
1487,POS
1488,NEG
1489,POS
1490,POS
1491,NEG
1492,NEG
1493,NEG
1494,NEG
1495,NEG
1496,NEG
1497,NEG
1498,NEG
1499,POS
1500,POS
1501,POS
1502,POS
1503,POS
1504,NEG
1505,NEG
1506,NEG
1507,NEU
1508,POS
1509,POS
1510,POS
1511,NEG
1512,NEG
1513,NEG
1514,NEG
1515,NEG
1516,NEG
1517,NEG
1518,NEG
1519,NEG
1520,NEU
1521,NEU
1522,NEU
1523,NEU
1524,NEU
1525,NEU
1526,NEU
1527,NEU
1528,NEG
1529,NEG
1530,NEG
1531,NEG
1532,NEG
1533,NEG
1534,NEU
1535,NEU
1536,NEU
1537,POS
1538,POS
1539,POS
1540,NEG
1541,NEG
1542,NEU
1543,NEU
1544,NEU
1545,NEU
1546,NEU
1547,NEU
1548,NEG
1549,NEG
1550,POS
1551,POS
1552,NEG
1553,NEU
1554,NEU
1555,NEG
1556,NEG
1557,NEU
1558,NEG
1559,NEG
1560,NEG
1561,NEG
1562,NEG
1563,NEG
1564,NEU
1565,NEU
1566,NEU
1567,NEU
1568,NEU
1569,NEG
1570,NEG
1571,NEG
1572,NEG
1573,NEG
1574,POS
1575,POS
1576,POS
1577,POS
1578,POS
1579,NEU
1580,NEG
1581,NEG
1582,NEG
1583,NEU
1584,NEU
1585,NEG
1586,NEG
1587,NEG
1588,NEG
1589,NEG
1590,NEG
1591,NEG
1592,NEG
1593,NEU
1594,NEU
1595,NEU
1596,NEG
1597,NEG
1598,NEG
1599,NEG
1600,NEG
1601,NEG
1602,NEG
1603,NEG
1604,NEG
1605,NEG
1606,NEG
1607,NEU
1608,NEU
1609,NEU
1610,NEU
1611,NEU
1612,NEU
1613,NEU
1614,NEG
1615,NEG
1616,NEG
1617,NEG
1618,NEG
1619,NEG
1620,NEU
1621,NEG
1622,NEG
1623,NEG
1624,NEG
1625,NEG
1626,NEG
1627,NEG
1628,NEG
1629,NEG
1630,NEG
1631,NEG
1632,NEG
1633,NEG
1634,NEG
1635,NEU
1636,NEU
1637,NEU
1638,NEG
1639,NEG
1640,NEG
1641,NEG
1642,NEG
1643,NEG
1644,NEG
1645,NEG
1646,NEG
1647,NEG
1648,NEG
1649,NEG
1650,POS
1651,POS
1652,POS
1653,POS
1654,POS
1655,POS
1656,POS
1657,NEG
1658,NEG
1659,NEG
1660,NEG
1661,NEG
1662,NEG
1663,NEG
1664,NEG
1665,NEG
1666,NEG
1667,NEG
1668,NEG
1669,NEG
1670,NEG
1671,NEG
1672,NEG
1673,NEG
1674,NEG
1675,NEU
1676,NEU
1677,NEU
1678,NEG
1679,NEG
1680,NEG
1681,NEG
1682,NEG
1683,NEG
1684,NEU
1685,NEU
1686,NEU
1687,NEU
1688,NEG
1689,NEG
1690,NEG
1691,NEG
1692,NEG
1693,NEG
1694,POS
1695,NEU
1696,NEG
1697,NEG
1698,NEG
1699,NEG
1700,NEG
1701,NEG
1702,NEG
1703,NEG
1704,NEG
1705,NEG
1706,NEG
1707,NEG
1708,NEG
1709,NEG
1710,NEG
1711,NEG
1712,NEG
1713,NEG
1714,NEG
1715,NEU
1716,NEG
1717,NEG
1718,NEG
1719,NEG
1720,NEG
1721,NEG
1722,POS
1723,NEG
1724,NEG
1725,NEG
1726,NEG
1727,NEU
1728,NEU
1729,NEU
1730,NEU
1731,NEG
1732,NEG
1733,NEG
1734,NEG
1735,NEG
1736,NEG
1737,NEG
1738,NEG
1739,POS
1740,NEG
1741,NEG
1742,NEG
1743,NEG
1744,NEG
1745,NEG
1746,NEG
1747,NEG
1748,NEG
1749,NEG
1750,NEG
1751,NEG
1752,NEU
1753,NEU
1754,NEU
1755,NEU
1756,NEG
1757,POS
1758,POS
1759,NEU
1760,NEG
1761,NEG
1762,NEG
1763,NEU
1764,NEU
1765,NEG
1766,NEU
1767,NEU
1768,NEU
1769,NEU
1770,NEU
1771,NEU
1772,NEG
1773,NEG
1774,NEG
1775,NEG
1776,NEG
1777,NEG
1778,NEG
1779,NEG
1780,NEG
1781,NEG
1782,NEG
1783,NEG
1784,NEU
1785,NEU
1786,NEG
1787,NEG
1788,NEG
1789,NEG
1790,NEG
1791,NEG
1792,NEG
1793,NEU
1794,NEU
1795,NEU
1796,NEG
1797,NEG
1798,NEG
1799,NEG
1800,NEG
1801,NEG
1802,NEU
1803,NEU
1804,NEU
1805,NEG
1806,NEG
1807,NEU
1808,NEU
1809,NEU
1810,NEG
1811,NEG
1812,NEG
1813,NEG
1814,NEG
1815,NEU
1816,NEU
1817,NEU
1818,NEG
1819,NEG
1820,NEG
1821,NEG
1822,NEG
1823,NEG
1824,NEG
1825,NEG
1826,NEG
1827,NEG
1828,NEG
1829,NEG
1830,NEU
1831,NEU
1832,NEG
1833,NEU
1834,NEU
1835,NEU
1836,NEG
1837,NEG
1838,NEG
1839,NEG
1840,NEG
1841,NEG
1842,NEG
1843,NEG
1844,NEG
1845,NEU
1846,NEG
1847,POS
1848,NEG
1849,NEG
1850,NEU
1851,NEU
1852,NEU
1853,NEG
1854,NEG
1855,NEG
1856,NEG
1857,NEG
1858,NEG
1859,NEG
1860,NEG
1861,NEU
1862,NEG
1863,NEG
1864,NEG
1865,NEG
1866,NEG
1867,NEG
1868,NEG
1869,NEG
1870,NEG
1871,NEG
1872,NEG
1873,NEU
1874,NEU
1875,NEU
1876,NEU
1877,NEG
1878,NEG
1879,POS
1880,POS
1881,NEG
1882,NEG
1883,NEG
1884,NEG
1885,NEG
1886,NEG
1887,POS
1888,POS
1889,NEG
1890,NEG
1891,NEU
1892,NEU
1893,NEU
1894,NEG
1895,NEG
1896,NEU
1897,NEU
1898,NEU
1899,NEU
1900,NEU
1901,NEU
1902,NEG
1903,NEG
1904,POS
1905,POS
1906,NEU
1907,NEU
1908,NEU
1909,NEU
1910,NEU
1911,NEG
1912,NEG
1913,NEG
1914,NEG
1915,NEG
1916,NEU
1917,NEU
1918,NEU
1919,NEU
1920,NEG
1921,NEG
1922,POS
1923,POS
1924,POS
1925,NEG
1926,NEG
1927,NEG
1928,NEG
1929,POS
1930,POS
1931,POS
1932,NEU
1933,NEU
1934,NEG
1935,NEG
1936,NEG
1937,POS
1938,NEG
1939,NEU
1940,NEU
1941,NEG
1942,NEG
1943,NEG
1944,NEG
1945,NEG
1946,NEG
1947,NEG
1948,NEG
1949,NEU
1950,NEU
1951,NEG
1952,POS
1953,NEG
1954,NEG
1955,NEU
1956,NEG
1957,POS
1958,NEG
1959,NEG
1960,NEG
1961,NEG
1962,NEG
1963,POS
1964,POS
1965,NEG
1966,NEG
1967,NEG
1968,NEG
1969,NEG
1970,NEG
1971,NEG
1972,NEG
1973,NEU
1974,NEU
1975,NEU
1976,POS
1977,POS
1978,POS
1979,NEG
1980,NEG
1981,NEG
1982,NEG
1983,NEU
1984,NEU
1985,NEG
1986,NEG
1987,POS
1988,POS
1989,POS
1990,POS
1991,NEU
1992,NEU
1993,NEU
1994,NEU
1995,NEU
1996,NEU
1997,NEG
1998,NEG
1999,NEG
2000,NEG
2001,NEU
2002,NEG
2003,NEG
2004,NEG
2005,POS
2006,NEG
2007,NEG
2008,NEU
2009,NEU
2010,NEG
2011,NEG
2012,NEG
2013,NEU
2014,NEU
2015,NEG
2016,NEG
2017,NEG
2018,POS
2019,POS
2020,NEU
2021,NEU
2022,NEG
2023,NEG
2024,NEU
2025,NEU
2026,POS
2027,POS
2028,NEG
2029,NEG
2030,NEG
2031,POS
2032,NEG
2033,NEG
2034,NEU
2035,NEU
2036,NEU
2037,NEU
2038,NEU
2039,NEU
2040,POS
2041,POS
2042,POS
2043,POS
2044,NEG
2045,POS
2046,POS
2047,NEU
2048,NEG
2049,NEG
2050,NEG
2051,NEU
2052,NEG
2053,NEG
2054,POS
2055,POS
2056,POS
2057,NEG
2058,NEG
2059,NEG
2060,NEG
2061,NEU
2062,NEU
2063,NEU
2064,NEG
2065,NEG
2066,NEG
2067,NEG
2068,NEG
2069,NEG
2070,NEU
2071,POS
2072,POS
2073,POS
2074,POS
2075,NEU
2076,NEU
2077,NEU
2078,NEU
2079,POS
2080,NEG
2081,NEG
2082,NEG
2083,POS
2084,NEU
2085,NEU
2086,NEG
2087,NEG
2088,NEG
2089,NEG
2090,POS
2091,NEG
2092,NEG
2093,NEG
2094,POS
2095,POS
2096,NEG
2097,NEG
2098,NEG
2099,POS
2100,POS
2101,POS
2102,POS
2103,POS
2104,NEG
2105,NEG
2106,NEG
2107,NEG
2108,NEG
2109,NEG
2110,NEG
2111,NEG
2112,NEG
2113,NEG
2114,NEG
2115,NEG
2116,NEG
2117,NEG
2118,NEG
2119,NEG
2120,NEG
2121,NEG
2122,NEG
2123,NEG
2124,NEG
2125,NEG
2126,NEU
2127,NEG
2128,NEG
2129,NEU
2130,NEU
2131,NEU
2132,POS
2133,NEG
2134,NEG
2135,NEU
2136,NEG
2137,NEG
2138,NEG
2139,POS
2140,POS
2141,POS
2142,NEG
2143,NEG
2144,NEU
2145,NEU
2146,NEU
2147,NEU
2148,NEU
2149,NEU
2150,POS
2151,POS
2152,POS
2153,POS
2154,POS
2155,POS
2156,NEU
2157,NEU
2158,NEU
2159,NEG
2160,NEG
2161,NEU
2162,NEU
2163,NEU
2164,NEU
2165,NEG
2166,NEG
2167,NEU
2168,NEU
2169,NEU
2170,NEU
2171,NEG
2172,NEG
2173,NEG
2174,NEG
2175,NEG
2176,NEG
2177,NEG
2178,NEG
2179,NEG
2180,NEG
2181,NEG
2182,NEG
2183,NEG
2184,POS
2185,POS
2186,NEG
2187,NEG
2188,NEG
2189,NEU
2190,NEU
2191,NEU
2192,NEG
2193,NEG
2194,NEG
2195,NEG
2196,NEG
2197,NEG
2198,NEG
2199,POS
2200,NEG
2201,POS
2202,NEG
2203,NEG
2204,POS
2205,NEG
2206,POS
2207,NEG
2208,NEG
2209,NEG
2210,NEG
2211,NEG
2212,NEG
2213,NEG
2214,NEU
2215,NEU
2216,NEU
2217,NEU
2218,NEU
2219,NEU
2220,NEG
2221,NEG
2222,NEG
2223,NEG
2224,NEG
2225,NEG
2226,NEG
2227,NEG
2228,NEG
2229,NEU
2230,NEU
2231,NEG
2232,NEU
2233,POS
2234,NEG
2235,NEG
2236,NEG
2237,NEU
2238,NEU
2239,NEU
2240,NEG
2241,NEU
